carat_weight,total_sales_price,cut,color,clarity
0.37,364,4,5,0
0.3,364,9,8,2
0.31,366,9,9,4
0.34,366,9,8,5
0.31,366,6,6,3
0.3,366,9,6,3
0.3,366,9,9,2
0.21,366,2,0,3
0.3,366,9,9,4
0.3,366,9,4,0
0.3,366,9,2,0
0.3,366,9,9,2
0.3,368,9,6,3
0.3,368,9,3,0
0.3,368,9,8,3
0.31,368,7,8,4
0.3,368,9,6,3
0.3,368,9,6,3
0.3,368,9,8,5
0.3,368,9,5,0
0.18,368,9,0,4
0.14,368,9,0,5
0.3,368,9,7,4
0.37,368,4,8,5
0.31,368,9,8,2
0.17,368,2,3,5
0.37,368,9,6,0
0.3,368,9,8,2
0.31,370,4,7,3
0.4,370,9,9,2
0.3,370,2,2,0
0.3,370,9,7,3
0.3,370,9,7,3
0.3,370,9,7,3
0.23,370,9,8,2
0.31,370,9,8,4
0.3,370,9,6,2
0.3,370,9,5,3
0.33,370,4,7,5
0.3,370,2,3,0
0.3,370,9,7,3
0.3,370,9,7,3
0.31,370,9,8,2
0.3,372,6,5,3
0.31,372,7,9,4
0.31,372,9,6,0
0.31,372,9,9,2
0.31,372,9,6,0
0.31,372,9,6,3
0.3,372,9,4,0
0.31,372,6,6,5
0.3,372,9,9,2
0.3,372,9,9,2
0.3,372,9,9,2
0.3,372,9,8,2
0.3,372,9,8,3
0.31,374,9,7,0
0.31,374,9,2,0
0.3,374,9,1,0
0.3,374,9,8,3
0.34,374,9,9,5
0.32,374,9,8,2
0.3,374,9,5,0
0.33,374,6,8,4
0.3,376,9,6,0
0.3,376,9,3,0
0.31,376,9,7,3
0.31,376,9,9,5
0.3,376,9,8,3
0.34,376,9,7,0
0.3,376,9,8,5
0.3,376,9,6,0
0.4,376,9,9,0
0.3,376,9,3,0
0.3,376,9,2,0
0.3,376,9,6,0
0.3,376,9,9,2
0.3,378,6,5,3
0.3,378,9,5,0
0.3,378,9,8,2
0.3,378,9,7,3
0.3,378,9,4,0
0.3,378,9,8,3
0.3,378,9,1,0
0.3,378,9,1,0
0.3,378,9,9,2
0.3,378,9,8,2
0.3,378,9,8,3
0.18,378,9,0,2
0.33,378,9,2,0
0.22,378,2,1,3
0.18,378,9,0,3
0.18,378,9,0,2
0.3,378,5,1,0
0.31,378,9,9,4
0.31,378,9,9,4
0.32,378,4,5,3
0.3,378,9,2,0
0.32,378,3,7,2
0.31,380,9,8,3
0.3,380,9,6,0
0.32,380,4,6,3
0.3,380,4,3,0
0.33,380,7,8,5
0.3,380,9,8,3
0.33,380,9,7,0
0.31,380,9,4,0
0.18,380,9,2,3
0.3,380,9,9,5
0.31,382,2,5,3
0.3,382,2,5,3
0.36,382,2,8,2
0.19,382,9,6,2
0.31,382,9,9,5
0.4,382,9,3,0
0.34,382,9,9,4
0.3,382,9,8,4
0.31,382,9,9,6
0.3,382,9,8,3
0.31,382,4,8,3
0.32,382,3,8,6
0.3,384,9,7,3
0.3,384,9,9,2
0.3,384,4,5,2
0.3,384,9,6,0
0.3,384,9,8,3
0.3,384,9,6,3
0.3,384,6,7,2
0.32,384,9,6,0
0.3,384,9,7,3
0.3,384,9,6,0
0.3,384,9,6,0
0.3,384,9,5,0
0.18,384,9,6,6
0.18,384,9,6,6
0.3,384,9,8,5
0.3,384,9,8,2
0.3,386,9,7,3
0.37,386,2,8,2
0.23,386,9,2,0
0.18,386,9,5,5
0.31,386,9,5,0
0.3,386,9,6,2
0.3,386,9,9,6
0.31,386,6,5,3
0.17,386,2,3,4
0.3,386,9,8,3
0.3,386,9,8,3
0.3,388,9,5,3
0.3,388,4,3,0
0.32,388,9,9,3
0.3,390,6,6,2
0.3,390,9,6,3
0.3,390,9,8,3
0.31,390,6,7,6
0.3,390,9,8,4
0.3,390,9,6,3
0.3,390,9,6,3
0.7,390,9,9,0
0.3,390,9,4,0
0.3,390,9,9,2
0.3,390,9,7,2
0.3,390,4,3,0
0.3,390,6,7,5
0.31,390,9,4,0
0.3,390,9,7,2
0.3,390,9,8,2
0.3,390,9,7,2
0.3,390,9,9,7
0.3,390,9,8,4
0.3,390,9,7,3
0.3,390,9,7,3
0.3,390,9,1,0
0.33,390,9,9,2
0.3,390,9,5,0
0.3,390,9,3,0
0.18,390,9,4,6
0.3,390,9,9,2
0.3,390,9,9,7
0.3,390,9,9,7
0.32,390,9,9,4
0.3,390,6,4,3
0.3,390,6,4,3
0.3,390,9,6,3
0.3,390,9,6,3
0.3,390,9,7,3
0.3,390,9,9,5
0.3,390,4,8,2
0.3,390,9,8,2
0.4,390,5,7,2
0.32,392,9,9,4
0.32,392,9,9,4
0.3,392,9,7,3
0.31,392,2,5,3
0.31,392,9,8,3
0.18,392,9,5,1
0.18,392,9,5,1
0.16,392,9,2,4
0.31,392,4,6,2
0.4,392,9,9,3
0.34,392,9,9,4
0.32,392,9,6,3
0.31,392,9,3,0
0.18,392,9,1,3
0.19,392,9,5,5
0.36,392,4,7,2
0.16,392,9,6,1
0.3,392,9,8,3
0.31,392,9,9,2
0.3,394,9,3,0
0.18,394,9,1,3
0.3,394,9,6,0
0.3,394,9,4,0
0.36,394,9,6,0
0.3,394,9,6,3
0.3,394,9,8,2
0.3,396,9,7,3
0.3,396,3,6,2
0.3,396,9,8,2
0.3,396,9,9,5
0.31,396,9,6,0
0.33,396,2,8,2
0.31,396,9,9,5
0.18,396,9,4,2
0.3,396,9,9,5
0.3,396,9,9,5
0.3,396,9,8,2
0.23,396,9,7,2
0.3,396,9,8,3
0.3,396,9,5,3
0.3,396,9,8,5
0.3,396,9,5,0
0.3,396,9,5,0
0.3,396,9,5,0
0.19,396,9,5,4
0.3,396,9,8,5
0.3,396,9,8,5
0.3,396,9,8,5
0.3,396,9,9,5
0.3,396,9,8,3
0.3,396,9,5,0
0.31,396,9,7,2
0.3,396,9,4,0
0.3,396,9,5,0
0.31,396,9,7,3
0.3,396,9,8,2
0.41,398,9,9,0
0.3,398,9,6,3
0.31,398,9,7,2
0.3,398,9,6,3
0.3,398,9,7,2
0.3,398,9,7,2
0.35,398,9,6,0
0.33,398,9,5,0
0.31,398,9,5,0
0.3,398,9,9,4
0.32,400,7,2,0
0.3,400,9,8,3
0.3,400,7,6,3
0.3,400,9,6,0
0.3,400,5,1,0
0.21,400,9,6,2
0.32,400,9,7,2
0.3,400,9,5,0
0.19,400,9,0,2
0.23,400,9,6,4
0.23,400,9,6,4
0.35,400,9,9,5
0.3,400,9,8,3
0.3,400,9,8,2
0.3,400,9,9,2
0.3,400,9,9,2
0.3,400,9,9,2
0.3,400,9,9,2
0.31,400,3,7,4
0.3,402,9,5,0
0.31,402,9,7,2
0.21,402,9,6,2
0.32,402,9,8,2
0.23,402,2,0,3
0.29,402,9,3,3
0.18,402,9,4,5
0.18,402,9,4,4
0.25,402,9,5,2
0.17,402,9,1,5
0.3,402,9,4,0
0.24,402,2,2,3
0.3,402,9,4,0
0.3,402,9,9,4
0.31,404,7,5,0
0.3,404,7,5,2
0.3,404,9,8,5
0.31,404,5,0,0
0.3,404,9,8,2
0.3,404,9,8,2
0.18,404,9,4,2
0.3,404,9,8,5
0.3,404,9,8,5
0.31,404,9,7,2
0.31,404,9,6,3
0.33,404,9,8,3
0.3,404,9,9,5
0.19,404,9,5,5
0.3,404,9,7,5
0.3,404,9,8,5
0.3,404,9,8,5
0.31,404,5,6,5
0.37,406,9,7,0
0.3,406,9,6,3
0.3,406,9,8,3
0.3,406,9,1,0
0.3,406,9,8,5
0.3,406,9,6,3
0.3,406,9,6,3
0.3,406,9,7,2
0.3,406,9,2,0
0.32,406,4,9,4
0.18,406,9,2,4
0.17,406,2,1,7
0.3,406,9,4,0
0.3,406,9,8,5
0.38,406,4,7,4
0.33,408,7,4,0
0.31,408,7,7,5
0.32,408,9,7,2
0.3,408,9,9,2
0.3,408,9,3,0
0.3,408,9,9,2
0.3,408,9,3,0
0.31,408,4,8,4
0.32,408,9,5,0
0.3,408,7,6,3
0.3,408,9,4,0
0.3,408,9,3,0
0.3,408,9,6,0
0.23,408,9,7,4
0.18,408,9,2,2
0.33,408,9,7,3
0.3,408,4,7,5
0.24,408,2,0,3
0.3,408,9,3,0
0.3,408,9,3,0
0.31,408,9,6,0
0.3,408,9,8,5
0.32,410,2,6,2
0.3,410,9,7,3
0.3,410,4,6,5
0.3,410,9,7,3
0.3,410,9,9,5
0.3,410,9,7,3
0.33,410,9,5,0
0.3,410,9,7,3
0.31,410,7,5,3
0.18,410,9,5,1
0.17,410,9,1,4
0.3,410,9,8,2
0.4,410,9,7,0
0.3,410,9,7,3
0.3,412,4,5,5
0.31,412,9,6,3
0.3,412,9,5,3
0.3,412,4,1,0
0.34,412,9,8,3
0.3,412,9,5,0
0.18,412,9,4,2
0.31,412,9,8,3
0.3,412,9,5,0
0.3,412,9,5,3
0.33,412,9,8,5
0.18,412,9,4,2
0.18,412,9,3,7
0.19,412,9,2,5
0.19,412,9,2,5
0.18,412,9,1,4
0.3,412,4,1,0
0.18,412,2,3,4
0.3,412,9,9,0
0.3,414,9,6,3
0.32,414,4,6,5
0.3,414,4,1,0
0.32,414,9,7,0
0.3,414,9,6,3
0.19,414,9,3,5
0.2,414,9,6,4
0.3,414,9,4,0
0.3,414,9,6,0
0.33,414,9,9,4
0.37,416,9,9,3
0.4,416,9,9,0
0.32,416,9,8,4
0.3,416,9,7,3
0.38,416,9,8,2
0.3,416,6,6,2
0.3,416,9,8,2
0.3,416,9,7,3
0.4,416,9,9,3
0.23,416,9,8,4
0.4,416,9,9,3
0.4,416,9,8,2
0.3,416,9,7,3
0.3,416,9,9,5
0.32,416,9,9,7
0.3,416,9,7,3
0.21,416,9,0,4
0.32,416,9,9,7
0.32,416,9,9,7
0.23,416,9,6,4
0.3,416,9,4,0
0.31,416,6,4,3
0.3,416,9,5,0
0.32,416,7,3,0
0.3,416,9,8,2
0.3,416,9,8,5
0.34,418,9,9,4
0.31,418,9,9,4
0.3,418,9,6,0
0.36,418,6,8,2
0.34,418,9,8,3
0.15,418,9,3,7
0.15,418,9,3,7
0.31,418,9,9,5
0.18,418,9,4,5
0.3,418,4,6,5
0.31,418,9,8,2
0.3,418,9,8,5
0.3,420,7,5,3
0.3,420,9,5,3
0.3,420,9,5,3
0.3,420,9,1,0
0.3,420,9,5,3
0.3,420,9,5,3
0.3,420,2,6,5
0.31,420,9,1,0
0.2,420,9,2,2
0.29,420,9,8,7
0.3,420,9,4,0
0.53,420,9,9,0
0.3,420,9,6,0
0.41,420,4,8,5
0.18,420,9,6,4
0.3,420,9,7,5
0.3,420,9,9,6
0.3,480,9,6,5
0.3,480,9,6,5
0.3,480,9,6,5
0.3,480,9,6,5
0.3,480,9,6,5
0.3,480,9,6,5
0.3,480,9,6,5
0.3,480,7,7,7
0.3,480,9,3,3
0.3,480,9,3,3
0.35,480,9,9,4
0.3,480,9,2,3
0.3,480,9,2,3
0.3,480,9,7,3
0.3,480,9,9,5
0.32,480,7,5,3
0.3,480,9,7,2
0.3,480,9,7,2
0.3,480,9,7,2
0.32,480,2,5,2
0.3,480,9,3,0
0.5,480,5,9,5
0.19,480,2,1,7
0.3,480,9,7,2
0.33,480,9,9,7
0.18,480,9,1,4
0.18,480,9,1,4
0.18,480,9,1,5
0.18,480,9,1,5
0.3,480,9,9,5
0.3,480,9,5,3
0.3,480,9,5,3
0.3,480,9,5,3
0.3,480,9,5,3
0.3,480,9,5,3
0.3,480,9,5,3
0.3,480,9,7,3
0.4,482,9,8,3
0.3,482,9,9,5
0.3,482,9,9,5
0.43,482,9,8,0
0.3,482,9,8,2
0.18,482,9,3,4
0.3,482,9,3,0
0.3,482,5,6,4
0.33,482,9,7,2
0.18,482,9,4,7
0.19,482,9,3,5
0.18,482,9,3,6
0.3,482,9,7,3
0.18,482,9,3,4
0.32,482,9,8,7
0.32,482,9,8,7
0.32,482,9,8,7
0.3,482,9,7,3
0.3,482,9,7,2
0.33,482,9,5,3
0.3,482,2,5,5
0.33,482,6,6,7
0.23,482,4,5,7
0.3,482,9,8,2
0.3,482,9,8,2
0.18,482,9,1,4
0.3,482,9,8,2
0.18,482,9,1,4
0.32,482,9,4,0
0.32,482,9,4,0
0.3,482,9,8,2
0.31,482,9,9,5
0.3,482,2,1,0
0.18,482,9,3,6
0.37,482,9,9,5
0.3,482,9,7,3
0.35,482,9,8,5
0.3,482,9,8,2
0.3,482,9,9,6
0.3,484,5,2,3
0.31,484,9,6,3
0.31,484,7,6,5
0.3,484,9,6,3
0.3,484,9,7,2
0.36,484,9,7,3
0.23,484,9,6,3
0.2,484,9,2,2
0.3,484,9,9,7
0.35,484,9,7,2
0.31,484,9,4,3
0.31,484,9,8,5
0.3,484,9,6,3
0.3,484,9,6,3
0.3,484,9,6,3
0.31,484,9,6,3
0.31,484,9,8,4
0.4,484,9,4,0
0.33,484,9,8,5
0.19,484,9,3,1
0.18,484,9,0,2
0.31,484,2,3,3
0.34,484,9,9,2
0.3,484,9,6,3
0.31,484,9,7,2
0.3,484,9,7,2
0.23,484,9,6,7
0.4,484,9,9,2
0.3,484,9,7,2
0.3,484,9,8,5
0.3,484,9,2,0
0.3,484,9,3,0
0.3,484,9,7,5
0.18,484,2,0,7
0.18,484,9,1,4
0.19,484,2,1,4
0.19,484,2,1,4
0.18,484,2,1,6
0.19,484,2,1,4
0.18,484,9,3,7
0.3,484,9,8,5
0.18,484,9,3,7
0.18,484,9,3,6
0.18,484,9,3,7
0.18,484,9,3,7
0.3,484,9,7,2
0.18,484,9,3,7
0.3,484,9,8,5
0.18,484,9,3,6
0.3,484,9,9,6
0.18,484,9,3,7
0.3,484,9,7,2
0.31,484,9,8,2
0.18,484,9,1,7
0.3,484,9,7,2
0.3,484,9,8,4
0.3,484,9,7,2
0.18,484,9,0,2
0.3,484,9,7,3
0.32,486,9,7,3
0.33,486,5,5,3
0.31,486,9,7,3
0.18,486,9,2,2
0.19,486,9,4,5
0.19,486,9,3,4
0.24,486,2,2,2
0.3,486,9,4,3
0.3,486,9,6,2
0.3,486,2,2,3
0.35,486,9,7,3
0.19,486,9,1,2
0.19,486,9,1,2
0.19,486,9,0,2
0.19,486,9,0,2
0.18,486,9,3,7
0.19,486,9,2,5
0.3,486,9,6,2
0.3,486,9,2,0
0.3,486,6,6,2
0.3,486,6,6,2
0.3,486,9,8,6
0.25,486,9,6,5
0.3,486,9,6,2
0.3,486,9,6,2
0.3,486,9,8,6
0.34,486,9,8,4
0.3,486,9,8,6
0.3,486,9,8,6
0.3,486,9,5,3
0.18,486,9,3,4
0.3,486,9,4,3
0.3,486,9,6,2
0.3,486,9,4,3
0.3,486,9,4,3
0.3,486,9,7,3
0.3,486,9,8,5
0.3,486,9,8,4
0.18,486,2,0,7
0.19,486,2,0,5
0.3,486,9,9,4
0.3,486,9,4,3
0.18,486,2,0,7
0.18,486,2,0,7
0.18,486,2,0,7
0.19,486,2,0,7
0.3,486,9,7,4
0.3,486,9,4,3
0.18,486,9,3,6
0.18,486,9,3,6
0.35,486,9,9,5
0.18,486,9,1,5
0.3,488,5,5,2
0.18,488,9,1,5
0.18,488,9,1,2
0.18,488,9,0,2
0.3,488,9,7,3
0.2,488,9,0,4
0.31,488,9,8,1
0.3,488,9,7,5
0.3,488,9,7,5
0.31,488,9,5,3
0.34,488,4,6,4
0.4,488,9,8,2
0.4,488,9,8,3
0.37,488,9,8,3
0.34,488,9,7,3
0.18,488,9,0,2
0.3,488,9,1,0
0.4,488,9,7,3
0.32,488,9,8,6
0.34,488,9,8,4
0.3,488,9,7,5
0.31,488,9,7,7
0.3,488,9,7,5
0.3,488,9,5,3
0.3,488,9,7,2
0.35,488,9,7,3
0.3,488,9,6,3
0.24,488,2,6,7
0.19,488,2,0,4
0.18,488,2,1,6
0.18,488,2,1,6
0.31,488,9,9,5
0.31,488,9,9,5
0.19,488,9,2,5
0.3,488,5,6,5
0.34,490,6,0,0
0.31,490,5,6,5
0.32,490,5,6,5
0.3,490,8,5,2
0.32,490,9,5,0
0.3,490,9,9,5
0.3,490,9,9,4
0.3,490,9,9,5
0.34,490,9,9,2
0.3,490,9,9,5
0.3,490,9,8,1
0.24,490,9,6,2
0.24,490,9,5,4
0.18,490,6,1,7
0.18,490,9,3,4
0.3,490,9,9,4
0.34,490,9,9,2
0.39,490,9,7,3
0.32,490,2,1,0
0.4,490,4,7,3
0.3,490,9,3,3
0.3,490,9,3,3
0.3,490,9,8,5
0.4,490,9,7,0
0.35,490,9,4,0
0.34,490,9,4,0
0.3,490,9,8,5
0.37,490,9,9,5
0.4,490,9,9,5
0.21,490,9,0,2
0.23,490,9,5,7
0.35,490,9,5,3
0.3,490,9,8,5
0.3,490,9,9,5
0.3,490,9,8,2
0.3,490,9,7,3
0.33,490,9,7,2
0.3,490,9,2,3
0.3,490,9,2,3
0.18,490,2,0,6
0.19,490,2,1,7
0.3,490,9,7,6
0.3,490,9,8,5
0.3,490,9,8,5
0.32,490,9,9,4
0.3,490,9,8,5
0.32,490,9,9,6
0.18,492,9,0,6
0.31,492,2,3,3
0.31,492,9,7,3
0.31,492,9,8,5
0.31,492,9,7,2
0.31,492,7,7,5
0.3,492,2,5,5
0.31,492,9,7,3
0.3,492,9,4,0
0.3,492,9,6,3
0.18,492,9,0,2
0.2,492,9,1,7
0.24,492,9,6,4
0.3,492,9,9,5
0.3,492,9,4,0
0.3,492,2,2,3
0.31,492,9,1,0
0.3,492,9,6,3
0.3,492,9,6,3
0.31,492,9,1,0
0.43,492,4,7,2
0.31,492,9,7,3
0.31,492,9,7,3
0.3,492,9,6,3
0.3,492,9,7,2
0.3,492,9,7,2
0.3,492,9,2,0
0.31,492,7,7,5
0.22,492,9,5,3
0.3,492,9,7,2
0.3,492,9,6,3
0.41,492,9,2,0
0.3,492,2,6,5
0.18,492,9,0,5
0.4,492,9,9,2
0.23,492,9,0,2
0.23,492,9,7,4
0.18,492,9,1,4
0.3,492,9,9,6
0.3,492,9,8,5
0.3,492,9,8,2
0.3,492,9,8,5
0.3,492,9,7,2
0.22,492,5,1,2
0.19,492,2,2,6
0.18,492,2,0,6
0.18,492,9,3,6
0.33,492,9,0,0
0.3,492,9,7,3
0.33,492,9,0,0
0.19,492,9,2,5
0.3,492,9,7,3
0.3,492,9,7,3
0.3,492,9,6,3
0.3,492,9,9,7
0.3,492,9,8,4
0.3,494,2,1,3
0.3,494,2,1,3
0.32,494,4,3,3
0.2,494,9,1,2
0.18,494,9,1,2
0.35,494,9,9,5
0.33,494,9,7,3
0.4,494,9,8,0
0.29,494,4,1,3
0.24,494,9,2,3
0.32,494,9,7,5
0.33,494,6,6,2
0.18,494,9,5,6
0.3,494,9,8,6
0.33,494,9,7,4
0.33,494,9,6,2
0.36,494,7,7,4
0.3,494,9,9,4
0.36,494,4,6,7
0.4,494,9,8,3
0.31,494,9,6,2
0.18,494,9,2,4
0.3,494,9,8,5
0.18,494,9,2,6
0.18,494,9,1,6
0.18,494,9,1,4
0.35,494,9,8,2
0.3,494,9,8,5
0.2,496,9,2,4
0.31,496,9,9,3
0.34,496,3,6,2
0.3,496,2,1,3
0.3,496,2,1,3
0.19,496,9,0,7
0.19,496,2,0,7
0.18,496,9,0,2
0.3,496,9,9,4
0.18,496,9,1,7
0.31,496,6,0,0
0.3,496,2,6,4
0.31,496,9,7,6
